"Activity" "Subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
"LAYING" 20 -0.435122258175641 -0.521471397919231 -0.481639350730128 -0.518385004726282 -0.00781788565064102 -0.0189524040839744 -0.129845704680769 -0.160848125435897 -0.0451471448155128 -0.283370742412308 -0.605195282032051 -0.897688739935897 -0.923371454871795 -0.465792771767949 -0.784832430897436 -0.73264325450641 -0.17096673325641 -0.117670104961538 -0.466996133878205 -0.730766642435897 -0.584111033739744 -0.738152923205128 -0.657980824698718 -0.543059660732692 -0.938183698846154 -0.91199543775641 -0.947916134038462 -0.946975373141026 -0.796254958333333 -0.895434044294872 -0.846882697467949 -0.780603502692308 -0.918016505641026 -0.931798951858974 -0.289339743409615 -0.520664244204487 -0.850287901346154 -0.944313722307692 -0.690384342308974 -0.580086814624359 -0.0542406250496154 0.590974958467949 0.00243648291666667 0.605671224294872 0.0126707978269231 0.0960612963007051 0.107789718651859 -0.95804564051282 -0.951149621217949 -0.630333071814103 -0.798019975769231 0.583042606566667 -0.0520837687948718 -0.0990616796704487 -0.154642188086538 0.516311477878205 0.721406207629487 -0.563094205380128 -0.0583316896467949 -0.00652029199794872 0.160890475006795 -0.687588088878205 -0.634014105358333 0.174322628994872 0.0409537662960897 -0.0787712163923077 -0.133636796346795 -0.0893440520019231 -0.195401431907051 0.11758740434359 -0.663222902621795 -0.314162257517308 -0.49607137346859 0.0682223691532051 -0.330001276273077 -0.112451762928462 -0.671218152360256 -0.00584668404230769 -0.517795368601282
"LAYING" 24 -0.682447212750656 -0.742983126606299 -0.718512684918635 -0.73234836788189 0.343151669551234 0.0514434604009711 -0.0501078590267979 -0.0975347609866142 -0.0556407394121785 -0.196212774028346 -0.510599733030446 -0.956144522703412 -0.918008116246719 -0.618175383450656 -0.882841022939633 -0.698968288706037 -0.277836517839895 -0.242117949519685 -0.703641614506562 -0.719655747391076 -0.751378154304462 -0.731677223608924 -0.793888660790026 -0.748565451902887 -0.961494802572178 -0.95321631015748 -0.974980651207349 -0.974054264278215 -0.922268026587927 -0.940339142493438 -0.939196277322835 -0.88066460519685 -0.961181988346457 -0.967702459212598 -0.278322782215774 -0.538761672633333 -0.847824851315748 -0.937695190367454 -0.903209392178478 -0.875133246036745 0.084690275920105 0.69498126808399 0.0729509702152231 0.712440644829396 0.0871546574435696 0.0532392147133333 0.0623227714146982 -0.975329699658793 -0.96089816664042 -0.800041752845144 -0.783790070367454 0.71994343575853 -0.124944662506562 -0.12840466348294 -0.106317941377165 0.744462058790026 0.71875545687664 -0.704523467010499 -0.0381831616832021 0.0908843669299738 0.111497347545312 -0.842773503648294 -0.776277362598425 0.106716019721785 0.0756958541292651 -0.0100896553792651 0.104444899825984 -0.0632952421559685 -0.0669618941788819 0.148532654038845 -0.779106252674541 -0.548161907112861 -0.778177619160105 0.100146688491365 -0.177445452551759 -0.114990821076824 -0.773932966094488 -0.0672624902782152 -0.805214555538058
"LAYING" 27 -0.622646577775503 -0.697498265308054 -0.670319660706711 -0.701344309590604 0.249895167872148 0.0954998266965436 -0.102116029167047 -0.0189862452485906 -0.0197633805593792 -0.071528659447651 -0.352291233089866 -0.938285988053691 -0.916019254966443 -0.542687282159396 -0.813517560587248 -0.730252753838926 -0.153777032013423 -0.166474876342282 -0.618436710858725 -0.711004343278523 -0.63962383364094 -0.733400165369128 -0.678250711030201 -0.652441118321141 -0.921821618389262 -0.906230937718121 -0.946975245436242 -0.945300149060403 -0.849606214026846 -0.870687964238255 -0.86959429538255 -0.811119712080537 -0.957276683053691 -0.970387502281879 -0.354833222400134 -0.619660035376846 -0.874163705771812 -0.927103903926174 -0.787753641442953 -0.828800242785235 0.229911249449698 0.585139591107383 0.0234793061308725 0.60361284114094 0.0402778345402685 0.112403642137919 0.120613102375168 -0.971679845234899 -0.969891146979866 -0.745347755363758 -0.814678301107383 0.606601337706846 -0.057242958261745 -0.0520615832550336 -0.154769577783691 0.668784248234899 0.693802730938255 -0.621448437842282 -0.00780787853825503 0.0658279884063725 0.0565203954952013 -0.78349984035906 -0.729018349897315 0.10934983565 0.00601207225939597 0.0818511070191275 0.145026006798993 -0.0386273944708054 0.0386071706095973 0.106509136121477 -0.747089792059396 -0.443215839697987 -0.771793223154362 0.191573313059463 -0.161121025011745 -0.0445845242674497 -0.7473644315 -0.0476884115033557 -0.801281510973154
"LAYING" 28 -0.648538641430367 -0.710956808836911 -0.680707477880105 -0.694523986434031 0.347213131032382 -0.126258574791283 -0.151644339683717 -0.270613215077225 -0.0896917400047906 -0.189857968946073 -0.496881629350262 -0.946781627748691 -0.925557726937173 -0.602773717303665 -0.846938304311518 -0.782135100548168 -0.241698318709424 -0.193348294664921 -0.670718095926963 -0.779061720358639 -0.704073382410995 -0.804361061937173 -0.761796698680628 -0.717522568510471 -0.931355110471204 -0.916429431623037 -0.951528737120419 -0.949380623926702 -0.874191243010471 -0.878461660418848 -0.879178284764398 -0.845588774882723 -0.944115630863874 -0.957306518612565 -0.245183305714921 -0.54160359258534 -0.918085622251309 -0.944271882303665 -0.878274289963351 -0.839441227099476 0.0249844611486126 0.62376789513089 -0.14757775521466 0.641903406413613 -0.131244812209424 -0.0569335662099476 -0.0469931021049738 -0.973873328062827 -0.960365626256545 -0.765895928539503 -0.852924581850785 0.655878173049215 -0.11043934862801 -0.133257331568848 -0.095235310311877 0.719822593575916 0.773642596041885 -0.688615568571361 -0.107899207935602 0.0926303289379058 0.0509117466569058 -0.819486672149215 -0.740426517142932 0.143401544847644 -0.0119700443981675 0.116669489774424 0.0770168929348168 -0.0356471631070419 0.0454030595662827 0.0612390472403141 -0.750020697997382 -0.502251075756283 -0.7521812491911 0.160413635526571 -0.10833592105699 -0.150660668194503 -0.759661047212042 -0.0807411389764398 -0.775301480455497
"LAYING" 29 -0.602228993700349 -0.653732301592151 -0.622503401288954 -0.656476646685901 -0.000139088731395347 -0.0538059617773256 0.00201044246625 -0.253940049719767 0.0203516079320058 -0.198567103198547 -0.505656145773547 -0.919429098110465 -0.918885778895349 -0.553959202453983 -0.790801775968023 -0.78575395519186 -0.248114445174419 -0.270851117965116 -0.641289075786337 -0.768433928313954 -0.651564188964826 -0.797519851133721 -0.729423337991279 -0.728848152741279 -0.900439318924419 -0.886142382848837 -0.932157335668605 -0.93003224872093 -0.836869456569767 -0.833245891453488 -0.834789149137209 -0.788964107343866 -0.93124329627907 -0.946839340552326 -0.368319398044186 -0.538620325976802 -0.917813392645349 -0.937440290261628 -0.823376122729651 -0.855761416366279 0.183195123992471 0.683067625610465 0.115489757911628 0.699110558313954 0.129397272310988 0.19605375555439 0.208215370043721 -0.973282885843023 -0.964643161017442 -0.780220990884302 -0.847554232354651 0.580405133610756 -0.148074291598837 -0.199170107994186 -0.051347986690407 0.671805563284273 0.742554426175581 -0.667856839605233 0.049655986564052 0.013019946355814 0.0512655430330814 -0.762956089505814 -0.700569312181686 -0.0133067553343023 0.124320382060465 0.0695980415567442 0.00303632484052326 0.0773286152555233 0.239071919519535 0.0565500854880233 -0.748022194759884 -0.521145332472093 -0.635728977147965 0.200312855494767 -0.104020780902326 0.0191780125003779 -0.774694671493605 -0.140573828752907 -0.632610542109302
"LAYING" 30 -0.510032754098198 -0.573779428671018 -0.51949208683577 -0.525211605343864 0.142545185710914 -0.186740355569138 -0.231709876750131 -0.361122796402089 -0.201705723987467 -0.221201688754569 -0.58521029773107 -0.898017739190601 -0.906718882193212 -0.558071102350653 -0.851489949527415 -0.763968981644909 -0.149867013986945 -0.146342816866841 -0.671673670524282 -0.755432212793734 -0.701879208571802 -0.784218274151436 -0.769789704203655 -0.741813726656736 -0.940137612741514 -0.92528418156658 -0.957942801253264 -0.956351518146214 -0.894475858903394 -0.894205783342037 -0.908403073498695 -0.849567349263708 -0.966797545483029 -0.977205112402089 -0.294649295815405 -0.393812416845953 -0.904797235796345 -0.940818814464752 -0.893950453295039 -0.873039575848564 -0.0731762491522976 0.696858200678851 0.0512698188974987 0.712696572558747 0.0627418254665796 0.169461940667102 0.184343178348037 -0.974319118563969 -0.952288292767624 -0.767253284989556 -0.809107131305483 0.634067370634465 -0.0669563898851175 -0.133641069201044 -0.182080085525457 0.744749429347259 0.770899324814621 -0.693510970524282 -0.176293118955091 0.0420998502506527 -0.0385498538201044 -0.792838523167102 -0.734313248146214 0.181579445890078 0.0420450784575457 0.0300062593481462 0.0134706656739164 -0.0561388085571802 0.00229590633900783 0.0526901314098433 -0.676316312150914 -0.494531444746736 -0.543289881099138 0.253949464499739 -0.305826492927963 -0.202366982887206 -0.683006169448042 0.0356348583415144 -0.556033749423969
"SITTING" 12 -0.585957269414925 -0.641774640228657 -0.601535077201493 -0.621069003216418 0.421442278638806 0.0304940287297761 -0.049418997688806 -0.107386749104701 -0.0124011894201493 -0.339164043171642 -0.663581020306716 -0.930319699552239 -0.943771342537313 -0.477973577666418 -0.766556796544776 -0.802633737313433 -0.015461838880597 -0.0143733764925373 -0.471744804389552 -0.799284140671642 -0.505745022388806 -0.813699090746269 -0.58675242343806 -0.565961496199254 -0.873349174977612 -0.853106547164179 -0.92210667858209 -0.919217441865672 -0.738775579216418 -0.736727097511194 -0.696613012974627 -0.766598539171642 -0.925082647164179 -0.925245363149254 -0.428901755285075 -0.479653163372388 -0.954670830223881 -0.962962311940298 -0.675393607358209 -0.672847710242537 0.0119147249141791 0.629964778955224 0.112652596558955 0.647411998507463 0.126478604719403 -0.0570366707892134 -0.0494520137037313 -0.973039656865672 -0.961684570149254 -0.61222957440597 -0.849670084552239 0.398061835626866 0.0973023755522388 -0.104726594074627 -0.195539759728358 0.553869520368657 0.805328303731343 -0.558338593395522 -0.0710207926370895 0.126922110988209 0.0481406673529851 -0.738687387462687 -0.668973722619403 0.266408439552239 -0.00286464388432836 0.044472839598806 -0.195114360840299 -0.0248117634216418 -0.246850043701493 0.108737343007239 -0.690156475447761 -0.511348774402985 -0.688541690223881 0.238499868579851 -0.122690299844776 -0.109353502197015 -0.707550982955224 0.0431590336687313 -0.712136026343284
"SITTING" 13 -0.581215403184709 -0.636364939544342 -0.60661184231315 -0.633658745412538 0.253992993820398 0.0899848659295413 -0.112645469406422 -0.0806130190608563 -0.00505036969339144 -0.133523208752752 -0.438820831351682 -0.930571800944954 -0.901895906779817 -0.537993304839235 -0.854739938256881 -0.699238490701835 -0.19926973324159 -0.171256974097859 -0.603340489937615 -0.710831730361468 -0.649606227431844 -0.728002792633027 -0.699371833930734 -0.650839692603976 -0.935510408287462 -0.917632687217125 -0.951730341681957 -0.949280432844037 -0.850577880030581 -0.882123776941896 -0.843247480556575 -0.853173811620795 -0.944750007431193 -0.960303757614679 -0.133958030577095 -0.431636574807339 -0.865538331253823 -0.917310881107034 -0.832854187706789 -0.768884846155963 0.155412659665443 0.709996516908257 -0.0420858101162079 0.724044518889908 -0.0290126958718654 0.0310714942922018 0.0443010536786239 -0.967268063455658 -0.953540716850153 -0.743569885171254 -0.783564686259939 0.625895156896024 -0.068200821559633 -0.0995257240978593 -0.0874501417966361 0.658538842345566 0.701867973600612 -0.620236865347706 0.0372532600388379 0.0822655934782875 0.0988656016743425 -0.787066494556575 -0.695387203428135 0.139086063853211 0.0411795185168196 -0.0651841983161162 0.0631333942410398 -0.0362656934684404 -0.0673700643779817 0.132196572450917 -0.715504134525994 -0.440496208598593 -0.666396475439174 0.0980117331107034 -0.2134988766 -0.0207954502522936 -0.711007154908257 -0.0519230315185933 -0.701376594269113
"SITTING" 17 -0.630693906651719 -0.71559290114375 -0.68180921571875 -0.68765785995625 0.206020926822188 0.0537500096897812 -0.0794198509303437 -0.109006734705156 -0.0471110402193125 -0.167947877470938 -0.489370178348437 -0.92851070253125 -0.91766735390625 -0.551416835705313 -0.785427045375 -0.76696651653125 -0.220105442334375 -0.199833397628125 -0.65093749483125 -0.7744940495625 -0.628899885682187 -0.7879901145625 -0.669960415069688 -0.659037746982188 -0.9555221464375 -0.930337460875 -0.96177512115625 -0.96042689246875 -0.840840805125 -0.92711733684375 -0.893214579625 -0.780606506221875 -0.96534110471875 -0.96878168090625 -0.14754887403 -0.41925914935875 -0.88561228853125 -0.961145293 -0.837330739875 -0.8270436568125 0.0736837586596875 0.668613344125 0.01046225616875 0.68461494796875 0.02375199811875 0.0118984783321875 0.0223722077328125 -0.9695361643125 -0.9570481696875 -0.779998236375 -0.86592090221875 0.64971845548125 -0.104236414453125 -0.113049589690625 -0.154712194529687 0.6865688746125 0.74340310660625 -0.6518003559215 -0.002659869543125 0.0958637590099062 0.174216462109062 -0.753499326315625 -0.665735336551875 0.141194569359375 -0.029719935219525 0.0472666505905875 0.0083631696423125 -0.0916664012346875 0.034033648835 0.0769444970803125 -0.722171735306875 -0.534581420421875 -0.74011978853125 0.0288652312073094 -0.353864097614469 -0.10229004592925 -0.69939994789875 -0.119554838373125 -0.76361281834375
"SITTING" 18 -0.951887812 -0.947942481333333 -0.941001727666667 -0.942012675 0.0994186291333333 -0.299881660236667 -0.307039569766667 -0.375759986466667 -0.229835580015667 -0.256002310466667 -0.619647075666667 -0.997930280666667 -0.987865405333333 -0.973477352333333 -0.999893398666667 -0.983279682333333 -0.915325659 -0.697981686666667 -0.969070922 -0.986778406666667 -0.990952901666667 -0.988661342666667 -0.992886867666667 -0.975070963666667 -0.999842594666667 -0.9997597 -0.999868799333333 -0.999868058333333 -0.999841108666667 -0.999771756666667 -0.999781206333333 -0.999896315666667 -0.999515102333333 -0.999735929 -0.0370194145033333 -0.0710981626266667 -0.999558595 -0.999470724 -0.999457742333333 -0.998926342 0.211098036796667 0.962581161666667 -0.180018835666667 0.980763714666667 -0.158232518333333 0.0749687224333333 0.0783976787 -0.995679798333333 -0.97557713 -0.97668303 -0.990483847333333 0.985481776666667 -0.582974881333333 -0.720984220666667 0.13426711636 0.978610342333333 0.985688738666667 -0.984820669333333 0.0342406793666667 -0.263588979346667 0.15811936517 -0.998456746 -0.970679378 -0.3967800755 0.256970363766667 -0.0140901331433333 -0.132515983763333 0.11718643888 0.0594035069833333 0.00129037416666667 -0.951482466666667 -0.727009625 -0.97923588 0.200280000373 -0.229487617666667 -0.05093109 -0.953154176666667 -0.318684224863333 -0.981834024
